회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
국보,1140,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",http://www.kukbo.com,항공화물운송과물류,마스크,
일성건설,13360,"건축공사,토목공사,전기공사",http://www.ilsungconst.co.kr,건설,건설 중소형,
까뮤이앤씨,13700,"토목공사,건축공사/부동산 임대",http://www.camusenc.com,건설,건설 중소형,
보락,2760,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",http://www.bolak.co.kr,식품,,
선도전기,7610,"수배전반,중전기기 제조,도매/전기공사",http://www.seondo.co.kr,전기장비,철도,
씨아이테크,4920,"컴퓨터 소프트웨어,하드웨어 서버,도매",http://www.citech.kr,컴퓨터와주변기기,키오스크(KIOSK),
광동제약,9290,"의약품,식음료 제조,도매",http://www.ekdp.com,제약,"백신/진단시약/방역(신종플루, AI 등)",
갤럭시아에스엠,11420,"스포츠중계권,스포츠마케팅,광고",http://galaxiasme.com,방송과엔터테인먼트,엔터테인먼트,효성
남성,4270,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대",http://www.namsung.com,전자장비와기기,,
KISCO홀딩스,1940,지주사업,http://www.kiscoholdings.co.kr,철강,지주사,
태영건설,9410,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",http://www.taeyoung.com,건설,건설 중소형,태영
한국특강,7280,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",http://www.ekosco.com,철강,철강 중소형,유진
한솔로지스틱스,9180,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",http://www.hansollogistics.com,항공화물운송과물류,종합 물류,
삼양통상,2170,"피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",http://www.samyangts.com,"섬유,의류,신발,호화품",,GS
SK텔레콤,17670,"이동전화,무선호출서비스,부가통신",http://www.sktelecom.com,무선통신서비스,모바일콘텐츠(스마트폰/태블릿PC),SK
진양폴리우레탄,10640,"폴리우레탄,폴리우레탄스폰지 제조,판매",http://www.chinyangpoly.kr,,,
미창석유공업,3650,"윤활유,고무배합유,전기절연유 제조,판매,수출입",http://www.michang.co.kr,,,
삼익THK,4380,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",http://www.samickthk.co.kr,기계,스마트팩토리(스마트공장),
미원상사,2840,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조",http://www.mwc.co.kr,화학,화장품,
서연,7860,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",http://www.seo-yon.com,자동차부품,지주사,
세우글로벌,13000,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",http://www.sewoo21.co.kr,판매업체,,
현대모비스,12330,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",http://www.mobis.co.kr,자동차부품,자동차 대표주,현대자동차
쎌마테라퓨틱스,15540,상품권유통,http://www.thelma.co.kr,판매업체,코로나19(진단/치료제/백신 개발 등),
KG케미칼,1390,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",http://www.kgchem.co.kr,화학,비료,KG
대우부품,9320,"전해콘덴서,복합부품,전자튜너 제조",http://www.dwecc.com,자동차부품,수소차(연료전지/부품/충전소 등),
현대해상,1450,손해보험(자동차보험),http://www.hi.co.kr,손해보험,손해보험,
현대그린푸드,5440,"백화점,여행알선,숙박,음식점/부동산 임대",http://www.hyundaigreenfood.com,식품과기본식료품소매,음식료업종,현대백화점
한국전력공사,15760,"전력자원개발,발전,송전,전력용기자재확보",http://www.kepco.co.kr,,,
국도화학,7690,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",http://www.kukdo.com,화학,,
녹십자,6280,"알부민외 제조,판매",http://www.greencross.com,제약,코로나19(진단/치료제/백신 개발 등),
SIMPAC,9160,"프레스,자동화장치,자동차부품 제조,도매",http://www.simpac.co.kr,기계,공작기계,
윌비스,8600,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",http://www.willbes.com,"섬유,의류,신발,호화품",일자리(취업),
대창단조,15230,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조",http://www.dcf.co.kr,기계,건설기계,
사조산업,7160,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",http://www.sajo.co.kr,식품,구제역/광우병 수혜,
한익스프레스,14130,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",http://www.hanex.co.kr,항공화물운송과물류,조림사업,
사조동아원,8040,"제분, 배합사료 제조",http://www.dongaone.com,식품,음식료업종,
